Site Name:2018-6003,,,,,,,,,,,,,
File Name:N/A,,,,,,,,,,,,,
Serial Number:6019,,,,,,,,,,,,,
FPGA Version:0x830A,,,,,,,,,,,,,
Micro Version:V3.6.65,,,,,,,,,,,,,
PC Version:V3.6.82,,,,,,,,,,,,,
File Format Version:1.1,,,,,,,,,,,,,
File Start:01/19/2022 14:08:52,,,,,,,,,,,,,
Detection,Serial Number,Date Time,TagCode,Tilt,vBatt,Temp,Pressure,Amp,Freq,Thresh,nbw,snr,valid
      -,17-6019,2022-01-19 14:16:04,G72ffffff,157.5,4.1,20.3,0,-99,-99,100,-99,-99,-99
1,17-6019,2022-01-19 14:16:08,G7200C9F6,157.5,4.1,20.3,0,412,-427,100,27,23.7,1
2,17-6019,2022-01-19 14:16:13,G7200C9F6,157.5,4.1,20.3,0,348,22,100,22,24,1
3,17-6019,2022-01-19 14:16:19,G7200C9F6,174.7,4.1,20.3,0,368,59,100,19,25.7,1
4,17-6019,2022-01-19 14:16:25,G7200C9F6,174.7,4.1,20.3,0,376,138,100,21,25.1,1
5,17-6019,2022-01-19 14:16:31,G7200C9F6,174.7,4.1,20.3,0,383,65,100,18,26.6,1
      -,17-6019,2022-01-19 14:16:34,G72ffffff,174.9,4.1,20.3,0,-99,-99,100,-99,-99,-99
6,17-6019,2022-01-19 14:16:36,G7200C9F6,174.9,4.1,20.3,0,341,153,100,21,24.2,1
7,17-6019,2022-01-19 14:16:42,G7200C9F6,174.9,4.1,20.3,0,380,161,100,21,25.2,1
8,17-6019,2022-01-19 14:16:48,G7200C9F6,174.9,4.1,20.3,0,354,176,100,23,23.7,1
9,17-6019,2022-01-19 14:16:54,G7200C9F6,174.9,4.1,20.3,0,336,-20,100,19,25,1
10,17-6019,2022-01-19 14:16:59,G7200C9F6,174.9,4.1,20.3,0,387,282,100,22,24.9,1
      -,17-6019,2022-01-19 14:17:04,G72ffffff,174.8,4.1,20.3,0,-99,-99,100,-99,-99,-99
11,17-6019,2022-01-19 14:17:05,G7200C9F6,174.8,4.1,20.3,0,389,8,100,19,26.2,1
12,17-6019,2022-01-19 14:17:11,G7200C9F6,174.8,4.1,20.3,0,374,127,100,22,24.6,1
13,17-6019,2022-01-19 14:17:17,G7200C9F6,174.8,4.1,20.3,0,379,119,100,22,24.7,1
14,17-6019,2022-01-19 14:17:22,G7200C9F6,175,4.1,20.3,0,345,228,100,20,24.7,1
15,17-6019,2022-01-19 14:17:28,G7200C9F6,175,4.1,20.3,0,358,30,100,22,24.2,1
16,17-6019,2022-01-19 14:17:34,G7200C9F6,175,4.1,20.3,0,385,102,100,21,25.3,1
      -,17-6019,2022-01-19 14:17:34,G72ffffff,174.7,4.1,20.3,0,-99,-99,100,-99,-99,-99
17,17-6019,2022-01-19 14:17:40,G7200C9F6,174.7,4.1,20.3,0,327,289,100,21,23.8,1
18,17-6019,2022-01-19 14:17:45,G7200C9F6,174.7,4.1,20.3,0,358,-257,100,21,24.6,1
19,17-6019,2022-01-19 14:17:51,G7200C9F6,175.1,4.1,20.3,0,326,5,100,20,24.2,1
20,17-6019,2022-01-19 14:17:57,G7200C9F6,175.1,4.1,20.3,0,418,255,100,20,26.4,1
21,17-6019,2022-01-19 14:18:03,G7200C9F6,175.1,4.1,20.3,0,306,305,100,22,22.9,1
      -,17-6019,2022-01-19 14:18:04,G72ffffff,174.9,4.1,20.3,0,-99,-99,100,-99,-99,-99
22,17-6019,2022-01-19 14:18:08,G7200C9F6,174.9,4.1,20.3,0,330,284,100,22,23.5,1
23,17-6019,2022-01-19 14:18:14,G7200C9F6,174.9,4.1,20.3,0,336,255,100,18,25.4,1
24,17-6019,2022-01-19 14:18:20,G7200C9F6,174.9,4.1,20.3,0,310,303,100,22,23,1
25,17-6019,2022-01-19 14:18:25,G7200C9F6,174.9,4.1,20.3,0,376,588,100,20,25.5,1
26,17-6019,2022-01-19 14:18:31,G7200C9F6,174.9,4.1,20.3,0,339,31,100,20,24.6,1
      -,17-6019,2022-01-19 14:18:34,G72ffffff,175.1,4.1,20.3,0,-99,-99,100,-99,-99,-99
27,17-6019,2022-01-19 14:18:37,G7200C9F6,175.1,4.1,20.3,0,364,19,100,23,24,1
28,17-6019,2022-01-19 14:18:43,G7200C9F6,175.1,4.1,20.3,0,378,108,100,18,26.4,1
29,17-6019,2022-01-19 14:18:48,G7200C9F6,175.1,4.1,20.3,0,357,-128,100,19,25.5,1
30,17-6019,2022-01-19 14:18:54,G7200C9F6,175.2,4.1,20.3,0,353,4,100,23,23.7,1
31,17-6019,2022-01-19 14:19:00,G7200C9F6,175.2,4.1,20.3,0,337,84,100,18,25.4,1
      -,17-6019,2022-01-19 14:19:04,G72ffffff,175,4.1,20.3,0,-99,-99,100,-99,-99,-99
32,17-6019,2022-01-19 14:19:06,G7200C9F6,175,4.1,20.3,0,296,76,100,20,23.4,1
33,17-6019,2022-01-19 14:19:11,G7200C9F6,175,4.1,20.3,0,354,309,100,18,25.9,1
34,17-6019,2022-01-19 14:19:17,G7200C9F6,175,4.1,20.3,0,360,114,100,21,24.7,1
35,17-6019,2022-01-19 14:19:23,G7200C9F6,175,4.1,20.3,0,340,-222,100,24,23,1
36,17-6019,2022-01-19 14:19:29,G7200C9F6,175,4.1,20.3,0,360,30,100,21,24.7,1
      -,17-6019,2022-01-19 14:19:34,G72ffffff,174.9,4.1,20.3,0,-99,-99,100,-99,-99,-99
37,17-6019,2022-01-19 14:19:34,G7200C9F6,174.9,4.1,20.3,0,350,33,100,20,24.9,1
38,17-6019,2022-01-19 14:19:40,G7200C9F6,174.9,4.1,20.3,0,338,71,100,19,25,1
39,17-6019,2022-01-19 14:19:46,G7200C9F6,174.9,4.1,20.3,0,355,118,100,22,24.2,1
40,17-6019,2022-01-19 14:19:52,G7200C9F6,174.6,4.1,20.3,0,373,-262,100,19,25.9,1
41,17-6019,2022-01-19 14:19:57,G7200C9F6,174.6,4.1,20.3,0,316,192,100,20,24,1
42,17-6019,2022-01-19 14:20:03,G7200C9F6,174.6,4.1,20.3,0,360,226,100,21,24.7,1
      -,17-6019,2022-01-19 14:20:04,G72ffffff,174.7,4.1,20.4,0,-99,-99,100,-99,-99,-99
43,17-6019,2022-01-19 14:20:09,G7200C9F6,174.7,4.1,20.4,0,334,216,100,19,24.9,1
44,17-6019,2022-01-19 14:20:14,G7200C9F6,174.7,4.1,20.4,0,331,6,100,21,24,1
45,17-6019,2022-01-19 14:20:20,G7200C9F6,174.9,4.1,20.4,0,350,203,100,22,24,1
46,17-6019,2022-01-19 14:20:26,G7200C9F6,174.9,4.1,20.4,0,343,9,100,22,23.9,1
47,17-6019,2022-01-19 14:20:32,G7200C9F6,174.9,4.1,20.4,0,354,64,100,16,26.9,1
      -,17-6019,2022-01-19 14:20:34,G72ffffff,174.7,4.1,20.3,0,-99,-99,100,-99,-99,-99
48,17-6019,2022-01-19 14:20:37,G7200C9F6,174.7,4.1,20.3,0,364,137,100,20,25.2,1
49,17-6019,2022-01-19 14:20:43,G7200C9F6,174.7,4.1,20.3,0,354,-292,100,21,24.5,1
50,17-6019,2022-01-19 14:20:49,G7200C9F6,174.7,4.1,20.3,0,400,244,100,19,26.5,1
51,17-6019,2022-01-19 14:20:55,G7200C9F6,174.9,4.1,20.4,0,350,106,100,21,24.4,1
52,17-6019,2022-01-19 14:21:00,G7200C9F6,174.9,4.1,20.4,0,396,35,100,21,25.5,1
      -,17-6019,2022-01-19 14:21:04,G72ffffff,174.7,4.1,20.4,0,-99,-99,100,-99,-99,-99
