Site Name:2017-6011,,,,,,,,,,,,,
File Name:N/A,,,,,,,,,,,,,
Serial Number:6011,,,,,,,,,,,,,
FPGA Version:0x830A,,,,,,,,,,,,,
Micro Version:V3.6.65,,,,,,,,,,,,,
PC Version:V3.6.82,,,,,,,,,,,,,
File Format Version:1.1,,,,,,,,,,,,,
File Start:01/24/2022 11:37:26,,,,,,,,,,,,,
Detection,Serial Number,Date Time,TagCode,Tilt,vBatt,Temp,Pressure,Amp,Freq,Thresh,nbw,snr,valid
1,17-6011,2022-01-24 11:37:50,G7200CA14,176.6,3.92,0,0,178,21,100,0,25,1
2,17-6011,2022-01-24 11:37:55,G7200CA14,176.6,3.92,0,0,184,-611,100,16,21.2,1
3,17-6011,2022-01-24 11:38:00,G7200CA14,176.6,3.92,0,0,180,1069,100,23,17.9,1
      -,17-6011,2022-01-24 11:38:03,G72ffffff,91.5,4.13,20.1,0,-99,-99,100,-99,-99,-99
4,17-6011,2022-01-24 11:38:05,G7200CA14,91.5,4.13,20.1,0,166,-557,100,24,16.8,1
5,17-6011,2022-01-24 11:38:10,G7200CA14,91.5,4.13,20.1,0,205,-529,100,22,19.4,1
6,17-6011,2022-01-24 11:38:15,G7200CA14,91.5,4.13,20.1,0,165,265,100,23,17.1,1
7,17-6011,2022-01-24 11:42:43,G7200CA14,91.5,4.13,20.1,0,177,80,100,23,17.7,1
8,17-6011,2022-01-24 11:42:48,G7200CA14,91.5,4.13,20.1,0,169,-456,100,23,17.3,1
9,17-6011,2022-01-24 11:42:53,G7200CA14,91.5,4.13,20.1,0,178,682,100,24,17.4,1
      -,17-6011,2022-01-24 11:42:56,G72ffffff,91,4.13,20.1,0,-99,-99,100,-99,-99,-99
10,17-6011,2022-01-24 11:42:59,G7200CA14,91,4.13,20.1,0,141,-26,100,23,15.7,1
11,17-6011,2022-01-24 11:43:09,G7200CA14,91,4.13,20.1,0,151,382,100,20,17.6,1
12,17-6011,2022-01-24 11:43:14,G7200CA14,91.4,4.14,20.1,0,190,-563,100,22,18.7,1
13,17-6011,2022-01-24 11:43:19,G7200CA14,91.4,4.14,20.1,0,170,196,100,23,17.4,1
14,17-6011,2022-01-24 11:43:24,G7200CA14,91.4,4.14,20.1,0,194,-265,100,24,18.2,1
      -,17-6011,2022-01-24 11:43:26,G72ffffff,91.3,4.14,20.1,0,-99,-99,100,-99,-99,-99
15,17-6011,2022-01-24 11:43:29,G7200CA14,91.3,4.14,20.1,0,210,-97,100,23,19.2,1
16,17-6011,2022-01-24 11:43:34,G7200CA14,91.3,4.14,20.1,0,190,-160,100,22,18.7,1
17,17-6011,2022-01-24 11:43:39,G7200CA14,91.3,4.14,20.1,0,170,634,100,22,17.8,1
18,17-6011,2022-01-24 11:43:44,G7200CA14,91.3,4.14,20.1,0,162,-11,100,24,16.6,1
19,17-6011,2022-01-24 11:43:49,G7200CA14,91.3,4.14,20.1,0,174,-138,100,24,17.2,1
20,17-6011,2022-01-24 11:43:54,G7200CA14,91.3,4.14,20.1,0,160,-56,100,24,16.5,1
      -,17-6011,2022-01-24 11:43:56,G72ffffff,91.4,4.13,20.1,0,-99,-99,100,-99,-99,-99
21,17-6011,2022-01-24 11:43:59,G7200CA14,91.4,4.13,20.1,0,202,-11,100,22,19.3,1
22,17-6011,2022-01-24 11:44:04,G7200CA14,91.4,4.13,20.1,0,198,-168,100,22,19.1,1
23,17-6011,2022-01-24 11:44:09,G7200CA14,91.4,4.13,20.1,0,194,-66,100,24,18.2,1
24,17-6011,2022-01-24 11:44:14,G7200CA14,91.5,4.14,20.1,0,159,680,100,23,16.8,1
25,17-6011,2022-01-24 11:44:19,G7200CA14,91.5,4.14,20.1,0,170,-431,100,23,17.4,1
26,17-6011,2022-01-24 11:44:24,G7200CA14,91.5,4.14,20.1,0,202,49,100,23,18.9,1
      -,17-6011,2022-01-24 11:44:26,G72ffffff,91.3,4.13,20.1,0,-99,-99,100,-99,-99,-99
27,17-6011,2022-01-24 11:44:29,G7200CA14,91.3,4.13,20.1,0,216,-254,100,22,19.8,1
28,17-6011,2022-01-24 11:44:34,G7200CA14,91.3,4.13,20.1,0,175,-9,100,22,18,1
29,17-6011,2022-01-24 11:44:40,G7200CA14,91.3,4.13,20.1,0,159,-22,100,23,16.8,1
30,17-6011,2022-01-24 11:44:45,G7200CA14,91.5,4.14,20.1,0,184,552,100,23,18.1,1
31,17-6011,2022-01-24 11:44:50,G7200CA14,91.5,4.14,20.1,0,195,73,100,22,19,1
32,17-6011,2022-01-24 11:44:55,G725C4C7F,91.5,4.14,20.1,0,109,-2543,100,33,10.4,1
      -,17-6011,2022-01-24 11:44:56,G72ffffff,91.2,4.13,20.1,0,-99,-99,100,-99,-99,-99
33,17-6011,2022-01-24 11:45:00,G7200CA14,91.2,4.13,20.1,0,133,20,100,26,14.2,1
34,17-6011,2022-01-24 11:45:05,G7200CA14,91.2,4.13,20.1,0,175,184,100,24,17.3,1
35,17-6011,2022-01-24 11:45:10,G7200CA14,91.2,4.13,20.1,0,167,-642,100,21,18,1
36,17-6011,2022-01-24 11:45:15,G7200CA14,91.3,4.14,20.1,0,150,697,100,23,16.3,1
37,17-6011,2022-01-24 11:45:20,G7200CA14,91.3,4.14,20.1,0,178,-217,100,23,17.8,1
38,17-6011,2022-01-24 11:45:21,G72D3FAA7,91.3,4.14,20.1,0,120,-2640,100,29,12.3,1
39,17-6011,2022-01-24 11:45:25,G7200CA14,91.3,4.14,20.1,0,198,4,100,21,19.5,1
      -,17-6011,2022-01-24 11:45:26,G72ffffff,91.3,4.14,20.1,0,-99,-99,100,-99,-99,-99
40,17-6011,2022-01-24 11:45:30,G7200CA14,91.3,4.14,20.1,0,143,786,100,23,15.9,1
41,17-6011,2022-01-24 11:45:35,G7200CA14,91.3,4.14,20.1,0,189,-874,100,22,18.7,1
42,17-6011,2022-01-24 11:45:40,G7200CA14,91.3,4.14,20.1,0,206,298,100,23,19,1
43,17-6011,2022-01-24 11:45:45,G7200CA14,91.3,4.14,20.1,0,200,0,100,23,18.8,1
44,17-6011,2022-01-24 11:45:50,G7200CA14,91.3,4.14,20.1,0,188,-464,100,26,17.2,1
45,17-6011,2022-01-24 11:45:55,G7200CA14,91.3,4.14,20.1,0,143,-455,100,24,15.5,1
      -,17-6011,2022-01-24 11:45:56,G72ffffff,91.3,4.14,20.1,0,-99,-99,100,-99,-99,-99
46,17-6011,2022-01-24 11:46:00,G7200CA14,91.3,4.14,20.1,0,213,131,100,23,19.3,1
47,17-6011,2022-01-24 11:46:10,G7200CA14,91.3,4.14,20.1,0,168,113,100,23,17.3,1
48,17-6011,2022-01-24 11:46:15,G7200CA14,91.5,4.14,20.1,0,161,164,100,22,17.3,1
49,17-6011,2022-01-24 11:46:21,G7200CA14,91.5,4.14,20.1,0,137,-457,100,23,15.5,1
50,17-6011,2022-01-24 11:46:26,G7200CA14,91.5,4.14,20.1,0,192,210,100,22,18.8,1
      -,17-6011,2022-01-24 11:46:26,G72ffffff,91.3,4.13,20.1,0,-99,-99,100,-99,-99,-99
51,17-6011,2022-01-24 11:46:31,G7200CA14,91.3,4.13,20.1,0,202,212,100,23,18.9,1
52,17-6011,2022-01-24 11:46:36,G7200CA14,91.3,4.13,20.1,0,177,-439,100,23,17.7,1
53,17-6011,2022-01-24 11:46:41,G7200CA14,91.3,4.13,20.1,0,210,-351,100,22,19.6,1
54,17-6011,2022-01-24 11:46:46,G7200CA14,91.2,4.14,20.1,0,185,-319,100,23,18.1,1
      -,17-6011,2022-01-24 11:46:56,G72ffffff,99.6,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:47:26,G72ffffff,172.3,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:47:56,G72ffffff,174.8,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:48:26,G72ffffff,175.2,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:48:56,G72ffffff,174.7,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:49:26,G72ffffff,174.9,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:49:56,G72ffffff,175.1,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:50:26,G72ffffff,172.8,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:50:56,G72ffffff,175.4,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:51:26,G72ffffff,174.8,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:51:56,G72ffffff,175.8,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:52:26,G72ffffff,175,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:52:56,G72ffffff,175.1,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:53:26,G72ffffff,175.2,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:53:56,G72ffffff,175,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:54:26,G72ffffff,174.9,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:54:56,G72ffffff,175.1,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:55:26,G72ffffff,175,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:55:56,G72ffffff,174.9,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:58:02,G72ffffff,175.5,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:58:32,G72ffffff,175.1,4.13,20.2,0,-99,-99,100,-99,-99,-99
55,17-6011,2022-01-24 11:58:34,G728EA1A2,175.1,4.13,20.2,0,102,18,100,11,19.3,1
      -,17-6011,2022-01-24 11:59:02,G72ffffff,177.3,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 11:59:32,G72ffffff,175.4,4.14,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:00:02,G72ffffff,175.5,4.13,20.1,0,-99,-99,100,-99,-99,-99
56,17-6011,2022-01-24 12:00:28,G723D4F03,174.8,4.14,20.1,0,122,-750,100,16,17.6,1
      -,17-6011,2022-01-24 12:00:32,G72ffffff,174.6,4.13,20.1,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:01:02,G72ffffff,175.1,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:01:32,G72ffffff,175.1,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:02:02,G72ffffff,174,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:02:32,G72ffffff,175.9,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:03:02,G72ffffff,176,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:03:32,G72ffffff,176.1,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:04:02,G72ffffff,175.5,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:04:32,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:05:02,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:05:32,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:06:02,G72ffffff,176.2,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:06:32,G72ffffff,176.2,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:07:02,G72ffffff,175.7,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:07:32,G72ffffff,176,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:08:02,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:08:32,G72ffffff,176.5,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:09:02,G72ffffff,175.7,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:09:32,G72ffffff,175.8,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:10:02,G72ffffff,176,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:10:32,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:11:02,G72ffffff,176,4.14,20.2,0,-99,-99,100,-99,-99,-99
57,17-6011,2022-01-24 12:11:30,G722F3C64,175.8,4.14,20.2,0,109,-416,100,16,16.7,1
      -,17-6011,2022-01-24 12:11:32,G72ffffff,175.9,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:12:02,G72ffffff,176.3,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:12:32,G72ffffff,175.8,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:13:02,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:13:32,G72ffffff,176,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:14:02,G72ffffff,175.8,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:14:32,G72ffffff,176.1,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:15:02,G72ffffff,175.9,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:15:32,G72ffffff,176,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:16:02,G72ffffff,175.8,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:16:32,G72ffffff,175.9,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:17:02,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:17:32,G72ffffff,175.7,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:18:02,G72ffffff,175.8,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:18:32,G72ffffff,176.2,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:19:02,G72ffffff,175.9,4.13,20.2,0,-99,-99,100,-99,-99,-99
58,17-6011,2022-01-24 12:19:11,G72246F7E,175.9,4.13,20.2,0,109,-609,100,15,17.2,1
59,17-6011,2022-01-24 12:19:18,G7298782F,176,4.14,20.2,0,120,-2201,100,15,18.1,1
      -,17-6011,2022-01-24 12:19:32,G72ffffff,175.7,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:20:02,G72ffffff,175.9,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:20:32,G72ffffff,175.8,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:21:02,G72ffffff,176.1,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:21:32,G72ffffff,175.9,4.14,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:22:02,G72ffffff,175.7,4.14,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:22:32,G72ffffff,175.6,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:23:02,G72ffffff,175.8,4.14,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:23:32,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:24:02,G72ffffff,176.1,4.13,20.3,0,-99,-99,100,-99,-99,-99
60,17-6011,2022-01-24 12:24:30,G7299C3F9,175.7,4.14,20.2,0,110,-1800,100,15,17.3,1
      -,17-6011,2022-01-24 12:24:32,G72ffffff,176.1,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:25:02,G72ffffff,176,4.13,20.2,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:25:32,G72ffffff,176,4.14,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:26:02,G72ffffff,176.1,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:26:32,G72ffffff,175.8,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:27:02,G72ffffff,175.9,4.14,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:27:32,G72ffffff,175.9,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:28:02,G72ffffff,176.2,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:28:32,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:29:02,G72ffffff,176.2,4.13,20.3,0,-99,-99,100,-99,-99,-99
61,17-6011,2022-01-24 12:29:09,G721620C5,176.2,4.13,20.3,0,116,1330,100,16,17.2,1
62,17-6011,2022-01-24 12:29:28,G7264C788,176,4.13,20.3,0,109,2295,100,16,16.7,1
      -,17-6011,2022-01-24 12:29:32,G72ffffff,175.9,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:30:02,G72ffffff,176.1,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:30:32,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:31:02,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:31:32,G72ffffff,175.5,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:32:02,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
63,17-6011,2022-01-24 12:32:03,G72FA39FC,176,4.13,20.3,0,116,-518,100,16,17.2,1
      -,17-6011,2022-01-24 12:32:32,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:33:02,G72ffffff,175.9,4.14,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:33:32,G72ffffff,176,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:34:02,G72ffffff,176,4.14,20.3,0,-99,-99,100,-99,-99,-99
64,17-6011,2022-01-24 12:34:29,G72C7647E,175.9,4.13,20.3,0,116,-1477,100,16,17.2,1
      -,17-6011,2022-01-24 12:34:32,G72ffffff,175.8,4.13,20.3,0,-99,-99,100,-99,-99,-99
      -,17-6011,2022-01-24 12:35:02,G72ffffff,175.9,4.13,20.3,0,-99,-99,100,-99,-99,-99
